pickup_loc,dropoff_loc,avg(duration)
dr5ru63,dr72h80,1282.0
dr5ru4r,dr5ruhg,729.7142857142857
dr5ru62,dr5ruzr,1141.1818181818182
dr5ru63,dr5rmsf,2146.0
dr5ru4q,dr5ruxm,837.9
dr5ru60,dr5recc,1110.3846153846155
dr5ru4x,dr5ruds,783.3291139240506
dr5ru4q,dr5ruhr,534.4583333333334
dr5ru63,dr5reg5,1233.4166666666667
dr5ru4x,dr5ru9g,599.2903225806451
dr5ru62,dr5rke3,1933.0
dr5ru4q,dr5rtp1,911.0
dr5ru63,dr5rgcn,430.6607142857143
dr5ru62,dr5rvrf,1629.75
dr5ru4r,dr72m2s,1593.0
dr5ru4r,dr5rgbt,527.4444444444445
dr5ru4r,dr5ru51,783.0
dr5ru4q,dr5ruge,934.1111111111111
dr5ru4x,dr5rgfw,447.92857142857144
dr5ru60,dr5rs78,1176.0
dr5ru61,dr5rue9,694.2
dr5ru4p,dr5rvpy,1023.0
dr5ru4x,dr72rn3,2066.0
dr5ru4n,dr5ru28,446.25
dr5ru69,dr5rsw6,807.0
dr5ru4p,dr5ruu9,1522.3333333333333
dr5ru62,dr5rsjc,725.625
dr5ru63,dr5rywq,1958.0
dr5ru62,dr72j58,1415.0
dr5ru4r,dr5rshw,1470.75
dr5ru63,dr5ryn6,2151.0
dr5ru62,dr5x0ze,2850.0434782608695
dr5ru4x,dr5rs2k,1564.5
dr5ru69,dr5x1pm,2616.0
dr5ru68,dr5rysw,1240.0
dr5ru4p,dr5ruhn,426.3333333333333
dr5ru60,dr5pg8z,3695.0
dr5ru4x,dr72j5j,1308.0
dr5ru68,dr5rujk,795.5
dr5ru69,dr5rezu,559.6666666666666
dr5ru4q,dr5ru91,706.8888888888889
dr5ru4x,dr5ruhy,661.0344827586207
dr5ru62,dr5ru38,250.0
dr5ru61,dr5rgbq,459.10526315789474
dr5ru63,dr5ru16,293.5
dr5ru63,dr5rstf,836.95
dr5ru4r,dr5ru95,1022.6666666666666
dr5ru4q,dr5ru0t,561.0
dr5ru61,dr72j1s,1651.0
dr5ru4r,dr5rswf,1200.6
dr5ru61,dr5rsrw,617.6666666666666
dr5ru63,dr5ru1d,265.85714285714283
dr5ru62,dr5rsmj,1051.5555555555557
dr5ru4x,dr5ru4n,320.0
dr5ru69,dr5ru1g,177.0
dr5ru61,dr5ru03,291.6
dr5ru68,dr5rv7q,1627.0
dr5ru4p,dr5rujk,1974.0
dr5ru69,dr5reyp,970.0
dr5ru4x,dr5rs28,2016.0
dr5ru62,dr72h91,1061.3333333333333
dr5ru68,dr5rzn9,1668.5
dr5ru4x,dr72j64,840.0
dr5ru4p,dr5rsp7,364.5
dr5ru63,dr5rm7z,3666.0
dr5ru4q,dr5rkbs,3367.0
dr5ru4x,dr5rynu,1835.5
dr5ru63,dr5rvdz,1635.6666666666667
dr5ru4r,dr5x2db,3290.0
dr5ru62,dr5rvtk,1383.0
dr5ru4n,dr5regj,925.0
dr5ru60,dr5rmp0,1602.0
dr5ru60,dr5rukc,519.0
dr5ru62,dr5ru5b,636.3333333333334
dr5ru4q,dr72mzb,1734.5
dr5ru61,dr5rug0,800.8571428571429
dr5ru69,dr5ru4s,161.0
