,pickup_loc,dropoff_loc,x_ij
0,dr5ru63,dr72h80,0.03979775871252066
1,dr5ru4r,dr5ruhg,0.805189069702804
2,dr5ru62,dr5ruzr,0.11817276598121018
3,dr5ru63,dr5rmsf,3.0942983874438256e-05
4,dr5ru4q,dr5ruxm,0.6265629971237183
5,dr5ru60,dr5recc,0.14764339355343478
6,dr5ru4x,dr5ruds,0.7255692135692301
7,dr5ru4q,dr5ruhr,0.9546173434761013
8,dr5ru63,dr5reg5,0.05849864353993873
9,dr5ru4x,dr5ru9g,0.9245553733025257
10,dr5ru62,dr5rke3,0.00018254462493838916
11,dr5ru4q,dr5rtp1,0.4770993668323258
12,dr5ru63,dr5rgcn,0.9803755738479305
13,dr5ru62,dr5rvrf,0.00228010744790743
14,dr5ru4r,dr72m2s,0.0030945914351618036
15,dr5ru4r,dr5rgbt,0.9570833093115431
16,dr5ru4r,dr5ru51,0.7261149812607791
17,dr5ru4q,dr5ruge,0.4294098727067707
18,dr5ru4x,dr5rgfw,0.9774069753090573
19,dr5ru60,dr5rs78,0.09112296101485609
20,dr5ru61,dr5rue9,0.8474836831387061
21,dr5ru4p,dr5rvpy,0.26405460607285147
22,dr5ru4x,dr72rn3,6.0266935652820415e-05
23,dr5ru4n,dr5ru28,0.9777138144607745
24,dr5ru69,dr5rsw6,0.6846015003234308
25,dr5ru4p,dr5ruu9,0.0055626022908741605
26,dr5ru62,dr5rsjc,0.8104789086703225
27,dr5ru63,dr5rywq,0.00014821970416571513
28,dr5ru62,dr72j58,0.013497429560744954
29,dr5ru4r,dr5rshw,0.008524498877563739
30,dr5ru63,dr5ryn6,2.968022138404191e-05
31,dr5ru62,dr5x0ze,8.761072574819872e-08
32,dr5ru4x,dr5rs2k,0.003920921296171056
33,dr5ru69,dr5x1pm,6.160112466619629e-07
34,dr5ru68,dr5rysw,0.05554926015761173
35,dr5ru4p,dr5ruhn,0.9810574856076474
36,dr5ru60,dr5pg8z,7.665803670372833e-11
37,dr5ru4x,dr72j5j,0.0322954646984505
38,dr5ru68,dr5rujk,0.7049190677400935
39,dr5ru69,dr5rezu,0.9445962921072468
40,dr5ru4q,dr5ru91,0.8333085189147243
