,n_01,n_11
80,44.0,44.0
81,45.0,44.0
82,46.0,44.0
83,47.0,44.0
84,48.0,44.0
85,49.0,44.0
86,50.0,44.0
87,51.0,44.0
88,52.0,44.0
89,53.0,44.0
90,54.0,44.0
91,55.0,44.0
92,56.0,44.0
93,57.0,44.0
94,58.0,44.0
95,59.0,44.0
96,60.0,44.0
97,61.0,44.0
98,62.0,44.0
99,63.0,44.0
100,64.0,44.0
101,65.0,44.0
102,66.0,44.0
103,67.0,44.0
104,68.0,44.0
105,69.0,44.0
106,70.0,44.0
107,71.0,44.0
108,72.0,44.0
109,73.0,44.0
110,74.0,44.0
111,75.0,44.0
112,76.0,44.0
113,77.0,44.0
114,78.0,44.0
115,79.0,44.0
116,80.0,44.0
117,81.0,44.0
118,82.0,44.0
119,83.0,44.0
120,84.0,44.0
121,85.0,44.0
122,86.0,44.0
123,87.0,44.0
124,88.0,44.0
125,89.0,44.0
126,90.0,44.0
127,91.0,44.0
128,92.0,44.0
129,99.0,39.0
130,100.0,39.0
131,101.0,39.0
132,99.0,41.0
133,100.0,41.0
134,101.0,41.0
135,102.0,41.0
136,99.0,44.0
137,100.0,44.0
138,101.0,44.0
139,102.0,44.0
140,103.0,44.0
141,104.0,44.0
142,105.0,44.0
143,106.0,44.0
144,107.0,44.0
145,108.0,44.0
146,109.0,44.0
147,110.0,44.0
148,111.0,44.0
149,112.0,44.0
150,113.0,44.0
151,114.0,44.0
152,115.0,44.0
153,116.0,44.0
154,117.0,44.0
155,118.0,44.0
156,119.0,44.0
157,120.0,44.0
158,121.0,44.0
159,122.0,44.0
160,123.0,44.0
161,124.0,44.0
162,125.0,44.0
163,126.0,44.0
164,127.0,44.0
165,128.0,44.0
166,129.0,44.0
167,130.0,44.0
168,131.0,44.0
169,132.0,44.0
170,133.0,44.0
171,134.0,44.0
172,135.0,44.0
173,136.0,44.0
174,137.0,44.0
175,138.0,44.0
176,139.0,44.0
177,140.0,44.0
178,141.0,44.0
179,142.0,44.0
180,143.0,44.0
181,144.0,44.0
182,145.0,44.0
183,146.0,44.0
184,147.0,44.0
185,148.0,44.0
186,149.0,44.0
187,150.0,44.0
188,151.0,44.0
189,152.0,44.0
190,153.0,44.0
191,154.0,44.0
192,155.0,44.0
193,156.0,44.0
194,157.0,44.0
195,158.0,44.0
196,159.0,44.0
197,160.0,44.0
198,161.0,44.0
199,162.0,44.0
