,0
80,827.8356
81,830.1374
82,832.4392
83,834.741
84,837.0428
85,839.3446
86,841.6464
87,843.9482
88,846.25
89,848.5518
90,850.8536
91,853.1554
92,855.4572
93,857.759
94,860.0608
95,862.3626
96,864.6644
97,866.9662
98,869.268
99,871.5698
100,873.8716
101,876.1734
102,878.4752
103,880.777
104,883.0788
105,885.3806
106,887.6824
107,889.9842
108,892.286
109,894.5878
110,896.8896
111,899.1914
112,901.4932
113,903.795
114,906.0968
115,908.3986
116,910.7004
117,913.0022
118,915.304
119,917.6058
120,919.9076
